Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-07-15 21:00","35196","35015","35149",
"2025-07-15 21:05","35261","35131","35149",
"2025-07-15 21:10","35053","35160","35149",
"2025-07-15 21:15","35076","35102","35145",
"2025-07-15 21:20","35230","35014","35145",
"2025-07-15 21:25","35236","34951","35145",
"2025-07-15 21:30","35196","34913","34608",
"2025-07-15 21:35","35106","34868","34608",
"2025-07-15 21:40","35070","34784","34608",
"2025-07-15 21:45","34950","34662","34705",
"2025-07-15 21:50","35077","34565","34705",
"2025-07-15 21:55","34972","34557","34705",
"2025-07-15 22:00","34665","34638","34600",
"2025-07-15 22:05","34775","34707","34600",
"2025-07-15 22:10","34621","34661","34600",
"2025-07-15 22:15","34676","34501","34362",
"2025-07-15 22:20","34588","34288","34362",
"2025-07-15 22:25","34217","34086","34362",
"2025-07-15 22:30","34121","33893","33207",
"2025-07-15 22:35","34085","33700","33207",
"2025-07-15 22:40","33755","33496","33207",
"2025-07-15 22:45","33638","33282","33201",
"2025-07-15 22:50","33375","33054","33201",
"2025-07-15 22:55","33121","32811","33201",
"2025-07-15 23:00","32813","32552","32324",
"2025-07-15 23:05","32467","32298","32324",
"2025-07-15 23:10","32483","32069","32324",
"2025-07-15 23:15","32248","31865","31393",
"2025-07-15 23:20","31897","31680","31393",
"2025-07-15 23:25","31616","31506","31393",
"2025-07-15 23:30","31434","31343","31301",
"2025-07-15 23:35","31182","31181","31301",
"2025-07-15 23:40","31002","31012","31301",
"2025-07-15 23:45","30721","30834","30507",
"2025-07-15 23:50","30576","30685","30507",
"2025-07-15 23:55","30414","30600","30507",
"2025-07-16 00:00","30040","30579","29702",
"2025-07-16 00:05","29929","30557","29702",
"2025-07-16 00:10","29954","30469","29702",
"2025-07-16 00:15","29925","30315","29503",
"2025-07-16 00:20","29804","30134","29503",
"2025-07-16 00:25","29661","29964","29503",
"2025-07-16 00:30","29489","29804","29307",
"2025-07-16 00:35","29330","29648","29307",
"2025-07-16 00:40","28999","29485","29307",
"2025-07-16 00:45","28705","29315","28802",
"2025-07-16 00:50","28569","29142","28802",
"2025-07-16 00:55","28561","28966","28802",
"2025-07-16 01:00","28255","28789","27852",
"2025-07-16 01:05","28352","28620","27852",
"2025-07-16 01:10","28194","28468","27852",
"2025-07-16 01:15","27994","28334","27604",
"2025-07-16 01:20","27979","28203","27604",
"2025-07-16 01:25","27741","28063","27604",
"2025-07-16 01:30","27580","27913","27303",
"2025-07-16 01:35","27511","27775","27303",
"2025-07-16 01:40","27482","27671","27303",
"2025-07-16 01:45","27187","27601","26808",
"2025-07-16 01:50","27046","27494","26808",
"2025-07-16 01:55","26881","27280","26808",
"2025-07-16 02:00","26807","26961","26504",
"2025-07-16 02:05","26715","26648","26504",
"2025-07-16 02:10","26478","26456","26504",
"2025-07-16 02:15","26544","26386","26309",
"2025-07-16 02:20","26559","26364","26309",
"2025-07-16 02:25","26419","26317","26309",
"2025-07-16 02:30","26037","26246","26103",
"2025-07-16 02:35","25932","26164","26103",
"2025-07-16 02:40","26108","26084","26103",
"2025-07-16 02:45","26096","26007","25801",
"2025-07-16 02:50","26048","25949","25801",
"2025-07-16 02:55","26033","25926","25801",
"2025-07-16 03:00","25842","25939","25702",
"2025-07-16 03:05","25942","25953","25702",
"2025-07-16 03:10","26042","25932","25702",
"2025-07-16 03:15","25774","25875","25507",
"2025-07-16 03:20","25796","25807","25507",
"2025-07-16 03:25","25486","25748","25507",
"2025-07-16 03:30","25464","25698","25602",
"2025-07-16 03:35","25599","25656","25602",
"2025-07-16 03:40","25665","25620","25602",
"2025-07-16 03:45","25532","25589","25409",
"2025-07-16 03:50","25567","25552","25409",
"2025-07-16 03:55","25591","25499","25409",
"2025-07-16 04:00","25539","25430","25207",
"2025-07-16 04:05","25385","25366","25207",
"2025-07-16 04:10","25423","25327","25207",
"2025-07-16 04:15","25427","25313","25308",
"2025-07-16 04:20","25201","25308","25308",
"2025-07-16 04:25","25417","25296","25308",
"2025-07-16 04:30","25057","25277","25402",
"2025-07-16 04:35","25167","25266","25402",
"2025-07-16 04:40","25207","25282","25402",
"2025-07-16 04:45","25150","25323","25306",
"2025-07-16 04:50","25090","25348","25306",
"2025-07-16 04:55","25094","25313","25306",
"2025-07-16 05:00","25437","25219","25756",
"2025-07-16 05:05","25388","25137","25756",
"2025-07-16 05:10","25433","25137","25756",
"2025-07-16 05:15","25336","25219","25505",
"2025-07-16 05:20","25511","25341","25505",
"2025-07-16 05:25","25677","25461","25505",
"2025-07-16 05:30","25551","25580","25472",
"2025-07-16 05:35","25498","25705","25472",
"2025-07-16 05:40","25497","25843","25472",
"2025-07-16 05:45","25628","25995","26008",
"2025-07-16 05:50","25899","26162","26008",
"2025-07-16 05:55","25990","26349","26008",
"2025-07-16 06:00","26169","26555","27101",
"2025-07-16 06:05","26707","26764","27101",
"2025-07-16 06:10","27069","26958","27101",
"2025-07-16 06:15","27147","27138","27423",
"2025-07-16 06:20","27348","27314","27423",
"2025-07-16 06:25","27321","27496","27423",
"2025-07-16 06:30","27613","27684","28108",
"2025-07-16 06:35","27829","27869","28108",
"2025-07-16 06:40","28010","28043","28108",
"2025-07-16 06:45","28157","28207","28310",
"2025-07-16 06:50","28223","28379","28310",
"2025-07-16 06:55","28283","28580","28310",
"2025-07-16 07:00","28228","28809","29110",
"2025-07-16 07:05","28959","29036","29110",
"2025-07-16 07:10","29309","29230","29110",
"2025-07-16 07:15","29453","29389","29608",
"2025-07-16 07:20","29442","29532","29608",
"2025-07-16 07:25","29661","29676","29608",
"2025-07-16 07:30","29875","29822","29992",
"2025-07-16 07:35","30029","29964","29992",
"2025-07-16 07:40","30000","30099","29992",
"2025-07-16 07:45","30233","30225","30276",
"2025-07-16 07:50","30444","30345","30276",
"2025-07-16 07:55","30451","30459","30276",
"2025-07-16 08:00","30404","30568","30709",
"2025-07-16 08:05","30705","30672","30709",
"2025-07-16 08:10","30884","30773","30709",
"2025-07-16 08:15","30917","30870","31005",
"2025-07-16 08:20","31201","30963","31005",
"2025-07-16 08:25","31188","31052","31005",
"2025-07-16 08:30","31309","31137","31296",
"2025-07-16 08:35","31239","31210","31296",
"2025-07-16 08:40","31250","31264","31296",
"2025-07-16 08:45","31374","31300","31496",
"2025-07-16 08:50","31482","31351","31496",
"2025-07-16 08:55","31436","31450","31496",
"2025-07-16 09:00","31531","31598","31800",
"2025-07-16 09:05","31630","31745","31800",
"2025-07-16 09:10","31659","31841","31800",
"2025-07-16 09:15","31855","31886","31807",
"2025-07-16 09:20","31851","31910","31807",
"2025-07-16 09:25","32015","31944","31807",
"2025-07-16 09:30","31984","31988","31794",
"2025-07-16 09:35","32013","32041","31794",
"2025-07-16 09:40","32206","32102","31794",
"2025-07-16 09:45","32285","32171","31997",
"2025-07-16 09:50","32208","32222","31997",
"2025-07-16 09:55","32220","32226","31997",
"2025-07-16 10:00","32164","32185","32370",
"2025-07-16 10:05","32194","32142","32370",
"2025-07-16 10:10","32415","32142","32370",
"2025-07-16 10:15","32354","32185","32443",
"2025-07-16 10:20","32290","32246","32443",
"2025-07-16 10:25","32443","32300","32443",
"2025-07-16 10:30","32578","32347","32395",
"2025-07-16 10:35","32537","32382","32395",
"2025-07-16 10:40","32591","32404","32395",
"2025-07-16 10:45","32487","32411","32492",
"2025-07-16 10:50","32491","32444","32492",
"2025-07-16 10:55","32667","32542","32492",
"2025-07-16 11:00","32764","32707","32748",
"2025-07-16 11:05","33067","32872","32748",
"2025-07-16 11:10","32945","32970","32748",
"2025-07-16 11:15","32777","33003","32999",
"2025-07-16 11:20","32924","33011","32999",
"2025-07-16 11:25","33065","33034","32999",
"2025-07-16 11:30","32802","33073","32994",
"2025-07-16 11:35","32920","33126","32994",
"2025-07-16 11:40","32926","33191","32994",
"2025-07-16 11:45","32838","33269","32996",
"2025-07-16 11:50","32852","33324","32996",
"2025-07-16 11:55","33035","33320","32996",
"2025-07-16 12:00","32965","33259","33294",
"2025-07-16 12:05","33087","33198","33294",
