season,temp_bin,hours,demand_mean
DJF,-2,177,28809.35593220339
DJF,-1,381,29475.456692913387
DJF,0,890,28958.2
DJF,1,1649,28423.468162522742
DJF,2,2350,28119.09209219858
DJF,3,2970,28729.034595959594
DJF,4,3641,28878.053488052734
DJF,5,4261,29212.291187514667
DJF,6,4473,29659.898576645053
DJF,7,4399,30213.543362127755
DJF,8,4263,30769.122194854954
DJF,9,3687,31154.054335051078
DJF,10,3151,31395.395377128953
DJF,11,2401,31310.93662362904
DJF,12,1840,30983.951856884058
DJF,13,1181,30609.34765735253
DJF,14,747,30314.42748772869
DJF,15,437,29670.775171624715
DJF,16,221,28650.733031674208
JJA,11,165,22339.00606060606
JJA,12,329,23244.8905775076
JJA,13,487,23633.34702258727
JJA,14,728,23964.01785714286
JJA,15,1186,24212.545531197302
JJA,16,1681,24434.88697204045
JJA,17,2370,24980.428270042194
JJA,18,3161,25532.074343562163
JJA,19,3517,26027.394938868354
JJA,20,3425,26897.65313868613
JJA,21,3145,27712.74721780604
JJA,22,2930,28753.056313993173
JJA,23,2669,29468.19333083552
JJA,24,2559,30186.83157483392
JJA,25,2516,30889.029411764706
JJA,26,2478,31341.951573849878
JJA,27,2342,31767.49188727583
JJA,28,2228,32127.75314183124
JJA,29,1989,32441.81498240322
JJA,30,1599,32941.96372732958
JJA,31,1169,32928.277159965786
JJA,32,738,33660.444444444445
JJA,33,391,33890.00255754476
JJA,34,220,34088.068181818184
MAM,1,134,26988.5
MAM,2,235,27308.336170212766
MAM,3,422,26338.604265402842
MAM,4,824,26054.24089805825
MAM,5,1338,25592.449177877428
MAM,6,1888,25887.671080508473
MAM,7,2463,26047.225131952902
MAM,8,2725,26376.415779816514
MAM,9,3154,26379.60288522511
MAM,10,3390,26446.482595870206
MAM,11,3376,26790.911581753553
MAM,12,3340,27135.908383233535
MAM,13,3088,27187.914313471505
MAM,14,2780,27346.29604316547
MAM,15,2624,27465.135060975612
MAM,16,2379,27595.237915090373
MAM,17,2089,27622.779894686453
MAM,18,1736,27492.804723502304
MAM,19,1428,27808.66736694678
MAM,20,1276,27751.64576802508
MAM,21,929,27793.501614639397
MAM,22,774,28219.86046511628
MAM,23,559,28077.758497316638
MAM,24,419,28385.670644391408
MAM,25,276,28647.644927536232
MAM,26,197,28976.096446700507
MAM,27,115,29375.66956521739
SON,2,147,28127.46371882086
SON,3,231,28394.401515151516
SON,4,502,28162.561918990705
SON,5,710,27456.433920187792
SON,6,990,27450.46851851852
SON,7,1295,27368.900386100388
SON,8,1513,27611.515917603
SON,9,1856,27460.714439655174
SON,10,2087,27316.684714901774
SON,11,2416,26916.16625275938
SON,12,2709,26615.11224929248
SON,13,2947,26309.46268804434
SON,14,3067,26289.000380393438
SON,15,3021,26247.155301776456
SON,16,2981,26530.189561668343
SON,17,2845,26884.71057410662
SON,18,2485,27378.039805499666
SON,19,2151,27963.714590113126
SON,20,1864,28644.70797567954
SON,21,1611,28940.50367266708
SON,22,1392,29465.532507183907
SON,23,1221,29640.73361998362
SON,24,1008,30115.54150132275
SON,25,842,30545.54750593824
SON,26,633,31007.074249605055
SON,27,462,31221.008658008657
SON,28,267,31756.756554307118
SON,29,170,31755.91176470588
